Danish,English
er,are
jeg,I
det,it
du,you
ikke,not
at,that
en,one
og,and
har,has
vi,we
til,towards
på,on
hvad,what
mig,me
med,with
de,they
den,the
for,too
der,there
så,so
dig,you
han,he
kan,may
af,of
vil,will
var,were
her,here
et,one
skal,shell
ved,at
men,but
om,about
nu,now
som,as
ja,yes
min,my
nej,no
noget,somewhat
ham,him
hun,she
være,be
bare,just
kom,Came
din,your
hvor,where
os,us
dem,.dem
hvis,if
ud,out
må,may
fra,from
se,see
godt,well
have,garden
ville,want
gør,Makes
lige,straight
okay,Okay
alle,all
op,up
lad,lazy
hvorfor,why
tror,Think
sig,say
tak,Thank you
hvordan,how
kommer,Comes
få,get
kunne,can
gøre,do
meget,very
eller,or
hende,her
ingen,nobody
tilbage,back
hvem,who
gå,go
bliver,Is
havde,Had
efter,after
nok,enough
man,Isle of Man
da,then
går,Goes
alt,all
sagde,Said
mit,my
når,when
ind,.ind
vores,our
over,across
aldrig,never
nogen,anyone
måske,maybe
hans,his
skulle,should
mand,Husband
selv,even
to,two
mere,more
jo,yes
jer,you
siger,Says
også,also
lidt,a little
dit,your
kun,only
deres,their
far,Father
ser,Look
blev,became
får,sheep
hej,hello
sådan,such
dette,this
igen,again
sammen,together
denne,this
hele,whole
hold,team
mine,my
tager,Takes
ned,down
komme,come
dag,day
undskyld,I am sorry
tage,take
blive,become
mor,Mother
væk,away
end,than
åh,Oh
sige,say
været,been
tid,time
fordi,because
helt,completely
sted,place
før,before
gjorde,Did
god,good
gang,time
år,year
tag,roof
laver,Make
mange,many
nogle,some
dine,your
fik,Got
mener,Believe
ting,thing
lille,small
siden,since
altid,always
mr,MRI
brug,use
folk,people
virkelig,actual
vent,Wait
finde,find
anden,second
stadig,still
hjem,home
gud,god
liv,life
vej,road
kender,connoisseur
andre,others
klar,clear
tale,speech
mod,courage
uden,without
elsker,love
set,Seen
tre,three
hør,flax
ret,right
gerne,willingly
hr,Mr
giv,Give
sir,Sir
sidste,last
tog,train
fanden,the devil
intet,nothing
død,death
fint,finely
vel,well
nå,reach
jeres,your
lide,suffer
troede,Thought
hendes,her
hen,to
blevet,Been
vide,know
gjort,Done
sker,Happens
bedre,better
ven,Friend
første,first
hjælpe,help
vær,Be
aften,evening
samme,same
andet,other
hjælp,help
gik,Went
vidste,Knew
forstår,Understand
arbejde,work
under,during
navn,name
sin,its
give,give
skat,tax
eneste,only
høre,hear
penge,money
morgen,morning
endnu,yet
giver,donor
burde,should
bedste,best
bruge,use
holde,hold
hey,Hey
synes,seem
sikker,sure
tro,believe
fortælle,tell
venner,s friends
står,Stands
stop,Stop
sikkert,probably
nødt,Have
længe,long
ok,Endorsement
verden,world
engang,once
taler,speaker
stor,big
døde,dead
hver,every
måde,way
fyr,pine
ude,out
hedder,Called
finder,Find
par,couple
store,Large
fandt,Found
selvfølgelig,naturally
fået,Got
bange,afraid
skete,Happened
først,first
snart,soon
næste,next
disse,these
holder,Keeps
øjeblik,moment
faktisk,actually
mænd,men
ihjel,to death
behøver,Need
betyder,Means
pige,girl
hos,with
ellers,otherwise
flere,several
lort,shit
gamle,Old
tiden,Time
ked,sorry
søn,Son
gode,good
hallo,hello
prøver,Trying
ligesom,like
stille,Be quiet
mennesker,People
rigtigt,Right
dø,die
Jack,Jack
nye,New
børn,children
vist,probably
lave,make
minutter,Minutes
lade,barn
slå,beat
gav,Gave
fem,five
huske,remember
galt,boar
derfor,therefore
orden,order
rigtig,right
gange,Times
pas,passport
helvede,hell
dage,days
kone,Wife
fundet,Found
alene,alone
farvel,farewell
møde,meeting
taget,Taken
allerede,already
bliv,Become
hurtigt,quickly
én,one
herfra,hence
ønsker,Would
ses,Seen
grund,reason
slags,kind
kommet,Come
rolig,calm
hvilken,which
altså,so
bil,car
skyld,fault
familie,Family
sagt,Said
kvinde,woman
hørt,Heard
fire,four
venter,Waiting
side,page
klare,cope
hører,Hear
vejen,Way
dræbe,kill
dreng,boy
hvornår,when
rundt,around
fortæl,Tell
imod,against
arbejder,worker
dør,door
hellere,rather
frem,forward
senere,later
langt,far
del,part
hørte,Heard
begge,both
håber,Hope
længere,anymore
pis,piss
fejl,error
bilen,Car
inden,before
nogensinde,ever
haft,Had
Dr,Dr
glad,happy
livet,Life
sæt,set
kører,Running
heller,Either
sket,Happened
sandt,True
hinanden,each other
næsten,nearly
ny,new
inde,inside
virker,Works
leder,leader
hus,house
kæft,mouth
ord,word
ingenting,nothing
politiet,Police
gået,Gone
spørgsmål,question
lang,long
pa,Pa
timer,Hours
snakke,talk
lyder,Sounds
bag,behind
john,John
bror,Brother
byen,City
prøve,test
kaptajn,captain
problem,problem
indtil,until
dog,however
tænkte,Thought
videre,further
sent,late
ben,leg
sød,sweet
løb,running
egen,own
ondt,Hurt
barn,child
velkommen,Welcome
vise,show
fat,Fat
mens,while
omkring,around
igennem,through
fortalte,told
sit,its
problemer,Problems
hva,Huh
slap,flaccid
forbi,past
gennem,through
kalder,Call
job,job
tænker,thinker
ti,ten
ha,ha
fri,free
gammel,old
ringer,Calling
sjovt,funnily
færdig,ready
fast,fixed
snakker,Chatting
våben,weapon
klarer,Does
chance,chance
køre,drive
drenge,Boys
ligner,Looks like
bad,bath
slår,Turn
lader,Lets
al,all
stedet,Site
sidder,Sitting
ligger,Is
sa,Sa
hånd,hand
stå,stand
mad,food
stoppe,stop
hjemme,at home
ad,at
ske,spoon
hader,Hate
tænk,Think
mest,most
seks,six
døren,Door
sgu,damn
lavet,Created
historie,history
the,tea
vente,wait
tænke,think
tii,Tii
nummer,number
flot,Good-looking
plads,place
hovedet,Head
resten,Rest
datter,Daughter
svært,Hard
føler,sensor
beklager,sorry
fantastisk,fantastic
ring,ring
bor,boron
slet,bad
nat,night
prøv,Try
helst,Preferably
pengene,Money
hvilket,which
fortæller,narrator
leve,live
mellem,between
glem,Don't forget
ringe,ring
live,Live
nyt,news
redde,save
tæt,close
kvinder,women
blod,blood
jorden,Earth
skide,shit
stort,Large
spise,eat
herre,lord
dræbt,Killed
uge,week
new,New
vand,water
tur,trip
dollars,Dollars
kort,short
sagen,Case
passer,compass
luk,Close
øjne,Eyes
beder,Ask
lære,learn
time,hour
afsted,Off
sine,Its
spille,play
dræbte,Killed
bruger,user
piger,girls
gift,poison
husker,Remember
søster,Sister
små,little
mindre,smaller
begynder,beginner
forstået,I understand
fuld,full
hjerte,heart
holdt,Kept
måtte,have to
huset,House
præcis,precise
bør,Should
land,country
by,city
røven,Ass
øje,eye
lov,law
skynd,Hurry
slut,End
fred,peace
læg,calf
smuk,beautiful
sandheden,Truth
klokken,At
spørge,ask
fedt,fat
værsgo,here you are
spiller,player
kære,dear
slog,slapped
held,luck
kæreste,girlfriend
lkke,lkke
unge,young one
miss,Miss
lever,liver
jamen,but
knægt,boy
rigtige,Right
alligevel,nevertheless
nede,down
herrer,Gentlemen
besked,message
slip,Drop
roligt,Quiet
valg,election
tænkt,Thought
vis,certain
findes,exist
oppe,up
lavede,Made
seng,bed
kærlighed,love
fyre,fire
handler,Is
måneder,Months
svin,pig
forstå,understand
masse,mass
find,Find
dagen,Day
sætte,put
perfekt,perfect
tom,empty
hoved,head
kl,At
foran,in front of
idé,idea
fortalt,told
udenfor,outside
muligt,possible
ansigt,face
agent,agent
forkert,wrong
rejse,travel
elskede,darling
røv,Ass
lyst,desire
frank,Frank
stykke,piece
manden,Man
krig,war
Mrs,Mrs.
ej,not
hvert,Each
prøvede,Tried
husk,Remember
foregår,Takes place
vigtigt,Important
aftale,appointment
venstre,left
endelig,finally
idiot,idiot
goddag,hello
Sam,Sam
svar,answer
spil,game
ønske,desire
plan,plan
hårdt,Hard
sætter,Put
dræber,killer
oh,Oh
sjov,funny
kamp,battle
viser,hand
sikkerhed,security
millioner,Million
sag,case
chef,boss
skyde,shoot
højre,right
sender,transmitter
steder,Places
arbejdet,Work
lykke,happiness
mening,opinion
damer,Ladies
værelse,room
hjælper,helper
kør,Run
godmorgen,Good morning
derude,out there
betale,pay
uger,Weeks
træk,drag
klart,clearly
bede,pray
hænder,Hands
godnat,Good night
givet,Given
kæmpe,fight
blot,just
fly,airplane
ligeglad,indifferent
skyd,Shoot
film,film
talte,Spoke
ringede,Called
lover,Promise
natten,Night
Charlie,Charlie
hente,fetch
syv,seven
pistol,gun
værd,worth
sikke,what
forældre,parents
gutter,Guys
Peter,Peter
rart,Nice
let,easy
York,York
tja,well
vinder,winner
fandens,Damn
aner,Ancestors
sidst,last
tøj,clothing
værre,worse
harry,Harry
talt,Spoken
fald,fall
dårligt,badly
general,general
dum,stupid
sove,sleep
hvide,White
træt,tired
tidligere,earlier
spørger,Ask
derinde,in there
stod,Stood
straks,immediately
købe,buy
skrive,write
javel,yes
følge,follow
største,Largest
mindste,smallest
kendte,Known
person,person
begyndte,Began
mærke,brand
baby,baby
fuck,Fuck
gider,Bother
skyder,Shoot
lys,light
sekunder,Seconds
henter,Download
hund,dog
desværre,unfortunately
søde,sugar
nød,nut
sidde,sit
skudt,Shot
utroligt,Incredibly
tjeneste,service
bog,book
ende,end
tal,number
indenfor,inside
tillykke,congratulations
øjnene,Eyes
tv,TV
james,James
mente,Meant
smule,Bit
menneske,human being
dårlig,bad
mødes,meet
skød,lap
sendt,sent
doktor,doctor
mangler,Missing
læse,read
Michael,Michael
vejret,Weather
makker,companion
kaffe,coffee
følger,Follows
enhver,any
otte,eight
onkel,uncle
hår,hair
større,bigger
præsident,president
løbe,run
beskytte,protect
kigger,Look
øh,uh
fortsæt,Continue
fru,Mrs
vild,wild
åbne,open
dyr,animal
skade,damage
billede,image
eget,Own
syg,sick
fyren,Guy
sort,black
bord,table
betaler,Pay
højt,aloud
slået,Beaten
dumme,Stupid
fest,party
George,George
vinde,win
sende,send
kig,Look
mike,Mike
lod,Share
følg,Follow
lig,corpse
spiser,Eat
mistet,Lost
røvhul,asshole
sex,sex
sid,Sid
pigen,Girl
hertil,here
ære,honor
dame,lady
fængsel,prison
smukt,Beautiful
lede,govern
sat,Set
anderledes,differently
mester,champion
kontor,office
vii,Vii
døden,death
sendte,sent
yeah,Yes
hent,Download
sorte,Black
drikke,drink
travlt,Busy
David,David
dejligt,delightfully
glemt,forgotten
spor,track
tingene,Things
ung,young
skole,school
passe,fit
rør,tube
rette,correct
begynde,begin
betjent,Cop
forklare,explain
ide,idea
fader,Father
landet,Country
skai,skai
hænderne,Hands
umuligt,impossible
herinde,Here
drøm,dream
kalde,call
åben,open
alting,everything
ene,juniper
meter,metre
venlig,friendly
vandet,Water
luften,Air
tør,dry
fanget,Caught
fange,prisoner
overhovedet,whatsoever
forhold,relationship
råd,advice
frue,madam
jimmy,Jimmy
smukke,Beautiful
uanset,whatever
stole,trust
godeste,goodness
født,born
forsigtig,cautious
faldt,Fell
send,Send
spurgte,Asked
netop,just
syntes,Seemed
bekymret,Concerned about
skolen,School
elske,love
familien,Family
falder,Fall
stil,style
føles,Feels
egne,Own
fare,danger
brugte,Used
sover,Sleep
vende,turn
guds,God
forlade,leave
nar,fool
dele,divide
løber,runner
tidspunkt,time
advokat,lawyer
halv,half
oberst,colonel
max,.max
kendt,known
mødt,Met
bo,dwell
fører,driver
kende,know
slippe,Get rid
lærer,teacher
slås,fight
stolt,proud
stopper,Stops
læge,doctor
mund,mouth
kigge,look
drink,drink
direkte,direct
fbi,Fbi
bedst,best
mord,murder
ændre,change
nemlig,namely
telefon,telephone
angreb,attack
rejser,travelling
ordre,order
sikre,ensure
normalt,Usually
smid,Throw
konge,king
ægte,genuine
flyve,fly
ordne,arrange
skylder,Owe
skriver,Writes
ni,nine
rent,purely
ødelægge,destroy
skib,ship
satan,Satan
joe,Joe
fart,speed
vender,Turns
brugt,used
prøvet,Tried
telefonen,Phone
vore,Our
børnene,Children
krigen,War
kontakt,contact
gave,gift
skør,brittle
mødte,Met
skrev,Wrote
ærligt,Honestly
bestemt,definite
ild,fire
middag,noon
ryger,smoker
satans,goddamn
naturligvis,naturally
kørte,Drove
stemme,voice
slemt,Bad
bob,Bob
stand,booth
ah,Ah
lyset,Light
problemet,Problem
paul,Paul
lukket,closed
skid,Skid
hav,sea
føle,feel
forsøger,Trying
aftes,Last night
fars,Father
jesus,Jesus
blå,blue
krop,body
flyt,Move
historien,Story
forkerte,Wrong
glemme,forget
pænt,nicely
pris,price
mistede,Lost
ma,Ma
alex,Alex
dér,There
glemte,Forgot
forsvind,Disappear
stærk,strong
billeder,Images
hurtigere,Faster
starte,start
nær,near
taber,loser
undskylde,apologize
frøken,Miss
reddede,Saved
bill,Bill
levende,alive
bryder,wrestler
fleste,Most
derovre,over there
løgn,lie
lært,Learned
skrevet,Written
magt,power
ro,row
underligt,Strange
venligst,please
paris,Paris
løs,loose
an,An der
dræb,Kill
selvom,though
enkelt,single
sang,song
vred,angry
øl,beer
stykker,Pieces
rum,space
lyver,Lying
sulten,hungry
tredje,third
musik,music
parat,ready
masser,Lots
løjtnant,lieutenant
interessant,interesting
midt,Mid
starter,Starts
miste,lose
slipper,Release
